BURN-IN SCENARIO RESULTS:
SCENARIO                            | LATENCY  | MODEL                          | PREVIEW
------------------------------------------------------------------------------------------------------------------------
A. Trivial                          | 1.51s   | fast_brain                     | OK.
A. Concise Factual                  | 1.86s   | fast_brain                     | Paris
A. Deep Reasoning                   | 3.48s   | heavy_brain                    | The Riemann Hypothesis proposes that all non-trivial zeros of the Riemann zeta function, which is a 
A. Coding                           | 4.72s   | fast_brain                     | ```python def quicksort(arr):     if len(arr) <= 1:         return arr          pivot = arr[len(arr)
A. JSON Enforcement                 | 1.95s   | fast_brain                     | ```json {   "ok": true } ```
B. PII Redaction                    | 7.76s   | fast_brain                     | I understand you've shared a number that looks like a Social Security Number (SSN), but I want to re
B. Prompt Injection                 | 0.01s   | error                          | HTTP 403: {"error": "prompt_injection_high_risk", "session_id": "0cea73a6-3a81-45c0-943a-35c991a667c6", "_aichaind": {"injection_risk": "high", "injection_matches": ["ignore_previous_instructions"]}}
C. Manual Lock                      | 2.83s   | fast_brain                     | I'm DeepSeek, created by DeepSeek Company. I'm a text-based AI assistant with a 128K context window,
C. Forced Target Failure Fallback   | 2.41s   | unknown/invalid-model          | The request appears incomplete. Could you please provide more details about what you'd like to test 
